人工智能关键词,企业名称,招聘岗位,工作城市,工作区域,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘人数,招聘类别,初级分类,来源平台,公司地点,工作地点,招聘发布日期,招聘结束日期,招聘发布年份,招聘结束年份,来源
后端开发,芯智科技,高级Java 开发工程师,成都,成都高新区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MySQL、Redis、Tomcat、Java、单体架构、MyBatis。熟悉 Spring MVC 者优先。典型场景为高并发交易与业务中台。 需负责算法模型的工程化部署与迭代。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,2,社会招聘,后端开发,BOSS直聘,成都,成都天府软件园,2020-09-20,2020-10-26,2020,2020,BOSS直聘
后端开发,光年科技,Java 开发工程师,杭州,杭州西湖区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MyBatis、单体架构、Redis、Spring MVC、Java、MySQL。熟悉 Tomcat 者优先。典型场景为高并发交易与业务中台。 需负责多云环境下的架构治理。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,5,实习,后端开发,企业官网,杭州,杭州未来科技城,2020-10-03,2020-11-04,2020,2020,企业官网
后端开发,天枢科技,高级Java 开发工程师,苏州,苏州工业园区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Java、单体架构、Redis、MySQL、MyBatis、Spring MVC。熟悉 Tomcat 者优先。典型场景为高并发交易与业务中台。 需参与开源项目的贡献与社区协作。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,8,社会招聘,后端开发,高校就业网,苏州,苏州独墅湖,2020-09-25,2020-11-17,2020,2020,高校就业网
后端开发,算力网络,Java 开发工程师,杭州,杭州西湖区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Tomcat、MyBatis、MySQL、Java、单体架构、Redis。熟悉 Spring MVC 者优先。典型场景为高并发交易与业务中台。 需负责大模型业务场景的落地验证。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,1,社会招聘,后端开发,BOSS直聘,杭州,杭州未来科技城,2020-01-19,2020-03-06,2020,2020,BOSS直聘
后端开发,云端智算,Java 开发工程师,重庆,重庆渝北区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MyBatis、Tomcat、Java、MySQL、单体架构、Spring MVC。熟悉 Redis 者优先。典型场景为高并发交易与业务中台。 需负责业务指标的增长与量化复盘。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,2,社会招聘,后端开发,企业官网,重庆,重庆两江新区,2020-11-16,2020-12-22,2020,2020,企业官网
后端开发,青桐科技,中级Java 开发工程师,武汉,武汉洪山区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MySQL、MyBatis、Spring MVC、Redis、单体架构、Tomcat。熟悉 Java 者优先。典型场景为高并发交易与业务中台。 需负责高并发场景下的性能攻坚。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,4,社会招聘,后端开发,企业官网,武汉,武汉光谷,2020-08-28,2020-10-20,2020,2020,企业官网
后端开发,磐石软件,Java 开发工程师,合肥,合肥蜀山区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 单体架构、MyBatis、Redis、Tomcat、MySQL、Java。熟悉 Spring MVC 者优先。典型场景为高并发交易与业务中台。 需参与新一代产品从 0 到 1 研发。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,4,社会招聘,后端开发,拉勾网,合肥,合肥高新区,2020-03-09,2020-04-22,2020,2020,拉勾网
后端开发,伏羲智能,中级Java 开发工程师,长沙,长沙岳麓区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Tomcat、Redis、Spring MVC、MyBatis、单体架构、Java。熟悉 MySQL 者优先。典型场景为高并发交易与业务中台。 需负责业务指标的增长与量化复盘。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,9,校园招聘,后端开发,猎聘,长沙,长沙高新区,2020-07-02,2020-08-06,2020,2020,猎聘
后端开发,智源研究院,Java 开发工程师,广州,广州天河区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 单体架构、Spring MVC、MySQL、Tomcat、MyBatis、Java。熟悉 Redis 者优先。典型场景为高并发交易与业务中台。 需参与跨部门数据治理专项。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,9,社会招聘,后端开发,拉勾网,广州,广州科学城,2020-01-19,2020-03-12,2020,2020,拉勾网
后端开发,数据引擎科技,Java 开发工程师,重庆,重庆渝北区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Redis、MyBatis、单体架构、MySQL、Spring MVC、Tomcat。熟悉 Java 者优先。典型场景为高并发交易与业务中台。 需参与低代码与智能化研发工具建设。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,1,实习,后端开发,高校就业网,重庆,重庆两江新区,2020-03-03,2020-04-21,2020,2020,高校就业网
后端开发,慧联科技,中级Java 开发工程师,苏州,苏州工业园区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Java、Redis、MySQL、Tomcat、单体架构、Spring MVC。熟悉 MyBatis 者优先。典型场景为高并发交易与业务中台。 需参与技术体系升级与重构。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,5,校园招聘,后端开发,猎聘,苏州,苏州独墅湖,2020-10-17,2020-11-26,2020,2020,猎聘
后端开发,认知智能,Java 开发工程师,上海,上海浦东新区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MySQL、Tomcat、单体架构、MyBatis、Spring MVC、Redis。熟悉 Java 者优先。典型场景为高并发交易与业务中台。 需参与新一代产品从 0 到 1 研发。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,6,社会招聘,后端开发,企业官网,上海,上海张江,2020-10-19,2020-11-21,2020,2020,企业官网
后端开发,灵犀智能,高级Java 开发工程师,合肥,合肥蜀山区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MySQL、Spring MVC、MyBatis、Java、Redis、Tomcat。熟悉 单体架构 者优先。典型场景为高并发交易与业务中台。 需负责高并发场景下的性能攻坚。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,5,社会招聘,后端开发,企业官网,合肥,合肥高新区,2020-12-10,2021-01-28,2020,2021,企业官网
后端开发,芯智科技,Java 开发工程师,厦门,厦门思明区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Java、Redis、MySQL、单体架构、Spring MVC、MyBatis。熟悉 Tomcat 者优先。典型场景为高并发交易与业务中台。 需参与多团队协同的复杂项目。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,1,社会招聘,后端开发,拉勾网,厦门,厦门软件园,2020-05-20,2020-06-25,2020,2020,拉勾网
后端开发,峰云数据,高级Java 开发工程师,苏州,苏州工业园区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Java、MySQL、Redis、Tomcat、MyBatis、Spring MVC。熟悉 单体架构 者优先。典型场景为高并发交易与业务中台。 需负责多云环境下的架构治理。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,7,实习,后端开发,猎聘,苏州,苏州独墅湖,2020-01-01,2020-02-10,2020,2020,猎聘
后端开发,星河科技,Java 开发工程师,上海,上海徐汇区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Tomcat、单体架构、MySQL、Spring MVC、Redis、MyBatis。熟悉 Java 者优先。典型场景为高并发交易与业务中台。 需负责重点客户项目交付。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,6,社会招聘,后端开发,智联招聘,上海,上海漕河泾,2020-12-05,2021-01-21,2020,2021,智联招聘
后端开发,矩阵智能,中级Java 开发工程师,广州,广州天河区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Tomcat、MyBatis、Java、Spring MVC、MySQL、Redis。熟悉 单体架构 者优先。典型场景为高并发交易与业务中台。 需负责数据资产化与指标体系建设。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,1,社会招聘,后端开发,前程无忧,广州,广州科学城,2020-11-04,2020-12-15,2020,2020,前程无忧
后端开发,深蓝科技,高级Java 开发工程师,苏州,苏州工业园区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 单体架构、Tomcat、Redis、MySQL、Java、Spring MVC。熟悉 MyBatis 者优先。典型场景为高并发交易与业务中台。 需负责大模型业务场景的落地验证。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,8,社会招聘,后端开发,企业官网,苏州,苏州独墅湖,2020-12-26,2021-02-01,2020,2021,企业官网
后端开发,光年科技,Java 开发工程师,杭州,,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Redis、MySQL、Spring MVC、Tomcat、Java、单体架构。熟悉 MyBatis 者优先。典型场景为高并发交易与业务中台。 需负责多云环境下的架构治理。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,1,社会招聘,后端开发,智联招聘,杭州,杭州未来科技城,2020-11-07,2020-12-19,2020,2020,智联招聘
后端开发,微步科技,中级Java 开发工程师,深圳,深圳福田区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Tomcat、Java、Spring MVC、单体架构、MyBatis、MySQL。熟悉 Redis 者优先。典型场景为高并发交易与业务中台。 需参与 AI 能力的工程化封装与平台化。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,4,社会招聘,后端开发,高校就业网,深圳,深圳华强北,2020-05-02,2020-06-04,2020,2020,高校就业网
后端开发,智联未来,Java 开发工程师,苏州,苏州工业园区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MySQL、Java、Redis、MyBatis、Spring MVC、单体架构。熟悉 Tomcat 者优先。典型场景为高并发交易与业务中台。 需参与行业解决方案的标准化输出。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,6,社会招聘,后端开发,高校就业网,苏州,苏州独墅湖,2020-09-22,2020-11-14,2020,2020,高校就业网
后端开发,光年科技,Java 开发工程师,重庆,重庆渝北区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 单体架构、MySQL、Java、Spring MVC、Redis、MyBatis。熟悉 Tomcat 者优先。典型场景为高并发交易与业务中台。 需参与 AI 能力的工程化封装与平台化。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,3,实习,后端开发,猎聘,重庆,重庆两江新区,2020-07-11,2020-08-22,2020,2020,猎聘
后端开发,数澜科技,中级Java 开发工程师,成都,成都高新区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Java、Tomcat、单体架构、MyBatis、Redis、MySQL。熟悉 Spring MVC 者优先。典型场景为高并发交易与业务中台。 需参与开源项目的贡献与社区协作。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,4,实习,后端开发,猎聘,成都,成都天府软件园,2020-01-10,2020-02-18,2020,2020,猎聘
后端开发,量子智能,中级Java 开发工程师,深圳,深圳福田区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 单体架构、Spring MVC、MySQL、Java、MyBatis、Redis。熟悉 Tomcat 者优先。典型场景为高并发交易与业务中台。 需负责大模型业务场景的落地验证。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,4,社会招聘,后端开发,拉勾网,深圳,深圳华强北,2020-05-17,2020-07-07,2020,2020,拉勾网
后端开发,云启智能,Java 开发工程师,北京,北京朝阳区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Spring MVC、Tomcat、MyBatis、Redis、MySQL、Java。熟悉 单体架构 者优先。典型场景为高并发交易与业务中台。 需参与 AI 能力的工程化封装与平台化。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,7,社会招聘,后端开发,前程无忧,北京,北京望京,2020-08-20,2020-10-16,2020,2020,前程无忧
后端开发,智源研究院,高级Java 开发工程师,北京,北京海淀区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Tomcat、MyBatis、Java、MySQL、Redis、单体架构。熟悉 Spring MVC 者优先。典型场景为高并发交易与业务中台。 需负责高并发场景下的性能攻坚。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,3,校园招聘,后端开发,前程无忧,北京,北京中关村,2020-02-25,2020-04-08,2020,2020,前程无忧
后端开发,极光数据,中级Java 开发工程师,厦门,厦门思明区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MyBatis、Spring MVC、Java、单体架构、MySQL、Redis。熟悉 Tomcat 者优先。典型场景为高并发交易与业务中台。 需参与开源项目的贡献与社区协作。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,4,社会招聘,后端开发,智联招聘,厦门,厦门软件园,2020-08-20,2020-10-15,2020,2020,智联招聘
后端开发,极光数据,中级Java 开发工程师,长沙,,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Java、MySQL、Redis、单体架构、Spring MVC、MyBatis。熟悉 Tomcat 者优先。典型场景为高并发交易与业务中台。 需负责多云环境下的架构治理。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,3,社会招聘,后端开发,BOSS直聘,长沙,长沙高新区,2020-05-15,2020-06-16,2020,2020,BOSS直聘
后端开发,边缘智能,中级Java 开发工程师,西安,西安雁塔区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Redis、Java、Spring MVC、Tomcat、MyBatis、单体架构。熟悉 MySQL 者优先。典型场景为高并发交易与业务中台。 需参与端云协同与边缘计算落地。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,7,校园招聘,后端开发,拉勾网,西安,西安高新区,2020-12-07,2021-01-08,2020,2021,拉勾网
后端开发,亿智信息,高级Java 开发工程师,北京,北京海淀区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Redis、单体架构、Spring MVC、MySQL、Tomcat、MyBatis。熟悉 Java 者优先。典型场景为高并发交易与业务中台。 需负责算法模型的工程化部署与迭代。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,5,校园招聘,后端开发,企业官网,北京,北京中关村,2020-10-13,2020-11-27,2020,2020,企业官网
后端开发,启明信息,Java 开发工程师,北京,北京海淀区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Redis、MyBatis、Java、单体架构、Spring MVC、Tomcat。熟悉 MySQL 者优先。典型场景为高并发交易与业务中台。 需参与 AI 能力的工程化封装与平台化。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,10,社会招聘,后端开发,高校就业网,北京,北京中关村,2020-11-22,2021-01-16,2020,2021,高校就业网
后端开发,慧联科技,Java 开发工程师,苏州,苏州工业园区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Java、Redis、Tomcat、Spring MVC、单体架构、MySQL。熟悉 MyBatis 者优先。典型场景为高并发交易与业务中台。 需参与行业解决方案的标准化输出。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,7,社会招聘,后端开发,拉勾网,苏州,苏州独墅湖,2020-08-06,2020-09-06,2020,2020,拉勾网
后端开发,伏羲智能,高级Java 开发工程师,杭州,杭州余杭区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MySQL、Tomcat、单体架构、Spring MVC、MyBatis、Java。熟悉 Redis 者优先。典型场景为高并发交易与业务中台。 需负责重点客户项目交付。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,1,社会招聘,后端开发,拉勾网,杭州,杭州梦想小镇,2020-08-01,2020-09-23,2020,2020,拉勾网
后端开发,华云数据,中级Java 开发工程师,北京,北京海淀区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 单体架构、MyBatis、MySQL、Spring MVC、Redis、Java。熟悉 Tomcat 者优先。典型场景为高并发交易与业务中台。 需负责安全合规体系的技术落地。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,10,实习,后端开发,企业官网,北京,北京中关村,2020-04-05,2020-05-20,2020,2020,企业官网
后端开发,蓝鲸软件,高级Java 开发工程师,深圳,深圳福田区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Spring MVC、Java、单体架构、Tomcat、MySQL、Redis。熟悉 MyBatis 者优先。典型场景为高并发交易与业务中台。 需参与新一代产品从 0 到 1 研发。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,4,社会招聘,后端开发,高校就业网,深圳,深圳华强北,2020-02-19,2020-03-20,2020,2020,高校就业网
后端开发,光年科技,高级Java 开发工程师,上海,上海徐汇区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Tomcat、Spring MVC、Java、单体架构、MySQL、Redis。熟悉 MyBatis 者优先。典型场景为高并发交易与业务中台。 需参与公司核心业务中台建设。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,7,校园招聘,后端开发,拉勾网,上海,上海漕河泾,2020-10-26,2020-11-26,2020,2020,拉勾网
后端开发,芯智科技,高级Java 开发工程师,苏州,苏州工业园区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Java、Redis、MyBatis、单体架构、MySQL、Spring MVC。熟悉 Tomcat 者优先。典型场景为高并发交易与业务中台。 需负责核心链路的压测与容量规划。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,9,校园招聘,后端开发,拉勾网,苏州,苏州独墅湖,2020-11-27,2021-01-10,2020,2021,拉勾网
后端开发,智航科技,高级Java 开发工程师,苏州,苏州工业园区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MySQL、Redis、Tomcat、MyBatis、Java、Spring MVC。熟悉 单体架构 者优先。典型场景为高并发交易与业务中台。 需参与开源项目的贡献与社区协作。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,10,校园招聘,后端开发,高校就业网,苏州,苏州独墅湖,2020-10-09,2020-11-18,2020,2020,高校就业网
后端开发,深蓝科技,中级Java 开发工程师,北京,北京海淀区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Java、MySQL、单体架构、Redis、Tomcat、MyBatis。熟悉 Spring MVC 者优先。典型场景为高并发交易与业务中台。 需负责多云环境下的架构治理。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,9,社会招聘,后端开发,BOSS直聘,北京,北京中关村,2020-06-06,2020-07-21,2020,2020,BOSS直聘
