人工智能关键词,企业名称,招聘岗位,工作城市,工作区域,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘人数,招聘类别,初级分类,来源平台,公司地点,工作地点,招聘发布日期,招聘结束日期,招聘发布年份,招聘结束年份,来源
大模型应用,海岳信息,RAG 应用工程师,杭州,杭州高新区,18,31,负责企业知识库智能问答系统建设，完成文档解析、向量检索、重排、生成与效果评测。要求 Python、RAG、向量数据库、大模型API调用、Prompt Engineering，熟悉 LangChain、知识图谱、Docker 者优先。 候选人需具备良好的协作沟通能力，参与第4类业务场景交付，并对核心指标进行量化复盘。,本科及以上,4年以上,1,社会招聘,大模型应用,前程无忧,杭州,杭州,2026-06-20,2026-08-19,2026,2026,前程无忧
大模型应用,智联工业,中级RAG 应用工程师,武汉,武汉高新区,20,34,负责企业知识库智能问答系统建设，完成文档解析、向量检索、重排、生成与效果评测。要求 Python、RAG、向量数据库、大模型API调用、Prompt Engineering，熟悉 LangChain、知识图谱、Docker 者优先。 候选人需具备良好的协作沟通能力，参与第5类业务场景交付，并对核心指标进行量化复盘。,本科及以上,5年以上,2,社会招聘,大模型应用,高校就业网,武汉,武汉,2026-06-09,2026-08-08,2026,2026,高校就业网
大模型应用,长江数科,高级RAG 应用工程师,南京,南京高新区,12,22,负责企业知识库智能问答系统建设，完成文档解析、向量检索、重排、生成与效果评测。要求 Python、RAG、向量数据库、大模型API调用、Prompt Engineering，熟悉 LangChain、知识图谱、Docker 者优先。 候选人需具备良好的协作沟通能力，参与第6类业务场景交付，并对核心指标进行量化复盘。,本科及以上,1年以上,3,社会招聘,大模型应用,BOSS直聘,南京,南京,2026-05-29,2026-07-28,2026,2026,BOSS直聘
大模型应用,北辰软件,RAG 应用工程师,成都,成都高新区,14,25,负责企业知识库智能问答系统建设，完成文档解析、向量检索、重排、生成与效果评测。要求 Python、RAG、向量数据库、大模型API调用、Prompt Engineering，熟悉 LangChain、知识图谱、Docker 者优先。 候选人需具备良好的协作沟通能力，参与第7类业务场景交付，并对核心指标进行量化复盘。,本科及以上,2年以上,1,社会招聘,大模型应用,企业官网,成都,成都,2026-05-18,2026-07-17,2026,2026,企业官网
大模型应用,矩阵创新,中级RAG 应用工程师,广州,广州高新区,16,28,负责企业知识库智能问答系统建设，完成文档解析、向量检索、重排、生成与效果评测。要求 Python、RAG、向量数据库、大模型API调用、Prompt Engineering，熟悉 LangChain、知识图谱、Docker 者优先。 候选人需具备良好的协作沟通能力，参与第8类业务场景交付，并对核心指标进行量化复盘。,本科及以上,3年以上,2,社会招聘,大模型应用,智联招聘,广州,广州,2026-05-07,2026-07-06,2026,2026,智联招聘
大模型应用,远景智云,高级RAG 应用工程师,苏州,苏州高新区,18,31,负责企业知识库智能问答系统建设，完成文档解析、向量检索、重排、生成与效果评测。要求 Python、RAG、向量数据库、大模型API调用、Prompt Engineering，熟悉 LangChain、知识图谱、Docker 者优先。 候选人需具备良好的协作沟通能力，参与第9类业务场景交付，并对核心指标进行量化复盘。,本科及以上,4年以上,3,社会招聘,大模型应用,前程无忧,苏州,苏州,2026-04-26,2026-06-25,2026,2026,前程无忧
大模型应用,科创引擎,RAG 应用工程师,合肥,合肥高新区,20,34,负责企业知识库智能问答系统建设，完成文档解析、向量检索、重排、生成与效果评测。要求 Python、RAG、向量数据库、大模型API调用、Prompt Engineering，熟悉 LangChain、知识图谱、Docker 者优先。 候选人需具备良好的协作沟通能力，参与第10类业务场景交付，并对核心指标进行量化复盘。,本科及以上,5年以上,1,社会招聘,大模型应用,高校就业网,合肥,合肥,2026-04-15,2026-06-14,2026,2026,高校就业网
人工智能,星河科技,大模型可信治理工程师,北京,北京高新区,12,22,负责大模型幻觉检测、红队评测、证据溯源和内容安全治理，建设可信评测指标与审核流程。要求 Python、机器学习、大模型API调用、RAG、知识图谱，熟悉 Prompt Engineering、Docker、单元测试者优先。 候选人需具备良好的协作沟通能力，参与第1类业务场景交付，并对核心指标进行量化复盘。,本科及以上,1年以上,1,社会招聘,人工智能,BOSS直聘,北京,北京,2026-07-16,2026-09-14,2026,2026,BOSS直聘
人工智能,云启智能,中级大模型可信治理工程师,上海,上海高新区,14,25,负责大模型幻觉检测、红队评测、证据溯源和内容安全治理，建设可信评测指标与审核流程。要求 Python、机器学习、大模型API调用、RAG、知识图谱，熟悉 Prompt Engineering、Docker、单元测试者优先。 候选人需具备良好的协作沟通能力，参与第2类业务场景交付，并对核心指标进行量化复盘。,本科及以上,2年以上,2,社会招聘,人工智能,企业官网,上海,上海,2026-07-05,2026-09-03,2026,2026,企业官网
人工智能,数澜未来,高级大模型可信治理工程师,深圳,深圳高新区,16,28,负责大模型幻觉检测、红队评测、证据溯源和内容安全治理，建设可信评测指标与审核流程。要求 Python、机器学习、大模型API调用、RAG、知识图谱，熟悉 Prompt Engineering、Docker、单元测试者优先。 候选人需具备良好的协作沟通能力，参与第3类业务场景交付，并对核心指标进行量化复盘。,本科及以上,3年以上,3,社会招聘,人工智能,智联招聘,深圳,深圳,2026-06-24,2026-08-23,2026,2026,智联招聘
人工智能,海岳信息,大模型可信治理工程师,杭州,杭州高新区,18,31,负责大模型幻觉检测、红队评测、证据溯源和内容安全治理，建设可信评测指标与审核流程。要求 Python、机器学习、大模型API调用、RAG、知识图谱，熟悉 Prompt Engineering、Docker、单元测试者优先。 候选人需具备良好的协作沟通能力，参与第4类业务场景交付，并对核心指标进行量化复盘。,本科及以上,4年以上,1,社会招聘,人工智能,前程无忧,杭州,杭州,2026-06-13,2026-08-12,2026,2026,前程无忧
人工智能,智联工业,中级大模型可信治理工程师,武汉,武汉高新区,20,34,负责大模型幻觉检测、红队评测、证据溯源和内容安全治理，建设可信评测指标与审核流程。要求 Python、机器学习、大模型API调用、RAG、知识图谱，熟悉 Prompt Engineering、Docker、单元测试者优先。 候选人需具备良好的协作沟通能力，参与第5类业务场景交付，并对核心指标进行量化复盘。,本科及以上,5年以上,2,社会招聘,人工智能,高校就业网,武汉,武汉,2026-06-02,2026-08-01,2026,2026,高校就业网
人工智能,长江数科,高级大模型可信治理工程师,南京,南京高新区,12,22,负责大模型幻觉检测、红队评测、证据溯源和内容安全治理，建设可信评测指标与审核流程。要求 Python、机器学习、大模型API调用、RAG、知识图谱，熟悉 Prompt Engineering、Docker、单元测试者优先。 候选人需具备良好的协作沟通能力，参与第6类业务场景交付，并对核心指标进行量化复盘。,本科及以上,1年以上,3,社会招聘,人工智能,BOSS直聘,南京,南京,2026-05-22,2026-07-21,2026,2026,BOSS直聘
人工智能,北辰软件,大模型可信治理工程师,成都,成都高新区,14,25,负责大模型幻觉检测、红队评测、证据溯源和内容安全治理，建设可信评测指标与审核流程。要求 Python、机器学习、大模型API调用、RAG、知识图谱，熟悉 Prompt Engineering、Docker、单元测试者优先。 候选人需具备良好的协作沟通能力，参与第7类业务场景交付，并对核心指标进行量化复盘。,本科及以上,2年以上,1,社会招聘,人工智能,企业官网,成都,成都,2026-05-11,2026-07-10,2026,2026,企业官网
人工智能,矩阵创新,中级大模型可信治理工程师,广州,广州高新区,16,28,负责大模型幻觉检测、红队评测、证据溯源和内容安全治理，建设可信评测指标与审核流程。要求 Python、机器学习、大模型API调用、RAG、知识图谱，熟悉 Prompt Engineering、Docker、单元测试者优先。 候选人需具备良好的协作沟通能力，参与第8类业务场景交付，并对核心指标进行量化复盘。,本科及以上,3年以上,2,社会招聘,人工智能,智联招聘,广州,广州,2026-04-30,2026-06-29,2026,2026,智联招聘
人工智能,远景智云,高级大模型可信治理工程师,苏州,苏州高新区,18,31,负责大模型幻觉检测、红队评测、证据溯源和内容安全治理，建设可信评测指标与审核流程。要求 Python、机器学习、大模型API调用、RAG、知识图谱，熟悉 Prompt Engineering、Docker、单元测试者优先。 候选人需具备良好的协作沟通能力，参与第9类业务场景交付，并对核心指标进行量化复盘。,本科及以上,4年以上,3,社会招聘,人工智能,前程无忧,苏州,苏州,2026-04-19,2026-06-18,2026,2026,前程无忧
人工智能,科创引擎,大模型可信治理工程师,合肥,合肥高新区,20,34,负责大模型幻觉检测、红队评测、证据溯源和内容安全治理，建设可信评测指标与审核流程。要求 Python、机器学习、大模型API调用、RAG、知识图谱，熟悉 Prompt Engineering、Docker、单元测试者优先。 候选人需具备良好的协作沟通能力，参与第10类业务场景交付，并对核心指标进行量化复盘。,本科及以上,5年以上,1,社会招聘,人工智能,高校就业网,合肥,合肥,2026-04-08,2026-06-07,2026,2026,高校就业网
后端开发,星河科技,Java 开发工程师,北京,北京高新区,12,22,负责企业级业务系统与微服务平台开发，参与接口、数据库和性能优化。要求 Java、Spring Boot、MySQL、Redis、RESTful API、Git；熟悉 Spring Cloud、Kafka、Docker、Kubernetes、CI/CD 者优先。 候选人需具备良好的协作沟通能力，参与第1类业务场景交付，并对核心指标进行量化复盘。 近期项目新增云原生发布要求，需要 Kubernetes 与 CI/CD 实践。,本科及以上,1年以上,1,社会招聘,后端开发,BOSS直聘,北京,北京,2026-07-09,2026-09-07,2026,2026,BOSS直聘
后端开发,云启智能,中级Java 开发工程师,上海,上海高新区,14,25,负责企业级业务系统与微服务平台开发，参与接口、数据库和性能优化。要求 Java、Spring Boot、MySQL、Redis、RESTful API、Git；熟悉 Spring Cloud、Kafka、Docker、Kubernetes、CI/CD 者优先。 候选人需具备良好的协作沟通能力，参与第2类业务场景交付，并对核心指标进行量化复盘。 近期项目新增云原生发布要求，需要 Kubernetes 与 CI/CD 实践。,本科及以上,2年以上,2,社会招聘,后端开发,企业官网,上海,上海,2026-06-28,2026-08-27,2026,2026,企业官网
后端开发,数澜未来,高级Java 开发工程师,深圳,深圳高新区,16,28,负责企业级业务系统与微服务平台开发，参与接口、数据库和性能优化。要求 Java、Spring Boot、MySQL、Redis、RESTful API、Git；熟悉 Spring Cloud、Kafka、Docker、Kubernetes、CI/CD 者优先。 候选人需具备良好的协作沟通能力，参与第3类业务场景交付，并对核心指标进行量化复盘。 近期项目新增云原生发布要求，需要 Kubernetes 与 CI/CD 实践。,本科及以上,3年以上,3,社会招聘,后端开发,智联招聘,深圳,深圳,2026-06-17,2026-08-16,2026,2026,智联招聘
后端开发,海岳信息,Java 开发工程师,杭州,杭州高新区,18,31,负责企业级业务系统与微服务平台开发，参与接口、数据库和性能优化。要求 Java、Spring Boot、MySQL、Redis、RESTful API、Git；熟悉 Spring Cloud、Kafka、Docker、Kubernetes、CI/CD 者优先。 候选人需具备良好的协作沟通能力，参与第4类业务场景交付，并对核心指标进行量化复盘。 近期项目新增云原生发布要求，需要 Kubernetes 与 CI/CD 实践。,本科及以上,4年以上,1,社会招聘,后端开发,前程无忧,杭州,杭州,2026-06-06,2026-08-05,2026,2026,前程无忧
后端开发,智联工业,中级Java 开发工程师,武汉,武汉高新区,20,34,负责企业级业务系统与微服务平台开发，参与接口、数据库和性能优化。要求 Java、Spring Boot、MySQL、Redis、RESTful API、Git；熟悉 Spring Cloud、Kafka、Docker、Kubernetes、CI/CD 者优先。 候选人需具备良好的协作沟通能力，参与第5类业务场景交付，并对核心指标进行量化复盘。 近期项目新增云原生发布要求，需要 Kubernetes 与 CI/CD 实践。,本科及以上,5年以上,2,社会招聘,后端开发,高校就业网,武汉,武汉,2026-05-26,2026-07-25,2026,2026,高校就业网
后端开发,长江数科,高级Java 开发工程师,南京,南京高新区,12,22,负责企业级业务系统与微服务平台开发，参与接口、数据库和性能优化。要求 Java、Spring Boot、MySQL、Redis、RESTful API、Git；熟悉 Spring Cloud、Kafka、Docker、Kubernetes、CI/CD 者优先。 候选人需具备良好的协作沟通能力，参与第6类业务场景交付，并对核心指标进行量化复盘。 近期项目新增云原生发布要求，需要 Kubernetes 与 CI/CD 实践。,本科及以上,1年以上,3,社会招聘,后端开发,BOSS直聘,南京,南京,2026-05-15,2026-07-14,2026,2026,BOSS直聘
后端开发,北辰软件,Java 开发工程师,成都,成都高新区,14,25,负责企业级业务系统与微服务平台开发，参与接口、数据库和性能优化。要求 Java、Spring Boot、MySQL、Redis、RESTful API、Git；熟悉 Spring Cloud、Kafka、Docker、Kubernetes、CI/CD 者优先。 候选人需具备良好的协作沟通能力，参与第7类业务场景交付，并对核心指标进行量化复盘。 近期项目新增云原生发布要求，需要 Kubernetes 与 CI/CD 实践。,本科及以上,2年以上,1,社会招聘,后端开发,企业官网,成都,成都,2026-05-04,2026-07-03,2026,2026,企业官网
后端开发,矩阵创新,中级Java 开发工程师,广州,广州高新区,16,28,负责企业级业务系统与微服务平台开发，参与接口、数据库和性能优化。要求 Java、Spring Boot、MySQL、Redis、RESTful API、Git；熟悉 Spring Cloud、Kafka、Docker、Kubernetes、CI/CD 者优先。 候选人需具备良好的协作沟通能力，参与第8类业务场景交付，并对核心指标进行量化复盘。,本科及以上,3年以上,2,社会招聘,后端开发,智联招聘,广州,广州,2026-04-23,2026-06-22,2026,2026,智联招聘
后端开发,远景智云,高级Java 开发工程师,苏州,苏州高新区,18,31,负责企业级业务系统与微服务平台开发，参与接口、数据库和性能优化。要求 Java、Spring Boot、MySQL、Redis、RESTful API、Git；熟悉 Spring Cloud、Kafka、Docker、Kubernetes、CI/CD 者优先。 候选人需具备良好的协作沟通能力，参与第9类业务场景交付，并对核心指标进行量化复盘。,本科及以上,4年以上,3,社会招聘,后端开发,前程无忧,苏州,苏州,2026-04-12,2026-06-11,2026,2026,前程无忧
后端开发,科创引擎,Java 开发工程师,合肥,合肥高新区,20,34,负责企业级业务系统与微服务平台开发，参与接口、数据库和性能优化。要求 Java、Spring Boot、MySQL、Redis、RESTful API、Git；熟悉 Spring Cloud、Kafka、Docker、Kubernetes、CI/CD 者优先。 候选人需具备良好的协作沟通能力，参与第10类业务场景交付，并对核心指标进行量化复盘。,本科及以上,5年以上,1,社会招聘,后端开发,高校就业网,合肥,合肥,2026-04-01,2026-05-31,2026,2026,高校就业网
大数据,星河科技,大数据开发工程师,北京,北京高新区,12,22,负责离线数仓和实时数据平台建设，完成数据集成、计算、质量监控和服务化。要求 SQL、Hadoop、Spark、Flink、Kafka、ETL、数据仓库；熟悉数据治理、Docker、Linux 者优先。 候选人需具备良好的协作沟通能力，参与第1类业务场景交付，并对核心指标进行量化复盘。,本科及以上,1年以上,1,社会招聘,大数据,BOSS直聘,北京,北京,2026-07-02,2026-08-31,2026,2026,BOSS直聘
大数据,云启智能,中级大数据开发工程师,上海,上海高新区,14,25,负责离线数仓和实时数据平台建设，完成数据集成、计算、质量监控和服务化。要求 SQL、Hadoop、Spark、Flink、Kafka、ETL、数据仓库；熟悉数据治理、Docker、Linux 者优先。 候选人需具备良好的协作沟通能力，参与第2类业务场景交付，并对核心指标进行量化复盘。,本科及以上,2年以上,2,社会招聘,大数据,企业官网,上海,上海,2026-06-21,2026-08-20,2026,2026,企业官网
大数据,数澜未来,高级大数据开发工程师,深圳,深圳高新区,16,28,负责离线数仓和实时数据平台建设，完成数据集成、计算、质量监控和服务化。要求 SQL、Hadoop、Spark、Flink、Kafka、ETL、数据仓库；熟悉数据治理、Docker、Linux 者优先。 候选人需具备良好的协作沟通能力，参与第3类业务场景交付，并对核心指标进行量化复盘。,本科及以上,3年以上,3,社会招聘,大数据,智联招聘,深圳,深圳,2026-06-10,2026-08-09,2026,2026,智联招聘
大数据,海岳信息,大数据开发工程师,杭州,杭州高新区,18,31,负责离线数仓和实时数据平台建设，完成数据集成、计算、质量监控和服务化。要求 SQL、Hadoop、Spark、Flink、Kafka、ETL、数据仓库；熟悉数据治理、Docker、Linux 者优先。 候选人需具备良好的协作沟通能力，参与第4类业务场景交付，并对核心指标进行量化复盘。,本科及以上,4年以上,1,社会招聘,大数据,前程无忧,杭州,杭州,2026-05-30,2026-07-29,2026,2026,前程无忧
大数据,智联工业,中级大数据开发工程师,武汉,武汉高新区,20,34,负责离线数仓和实时数据平台建设，完成数据集成、计算、质量监控和服务化。要求 SQL、Hadoop、Spark、Flink、Kafka、ETL、数据仓库；熟悉数据治理、Docker、Linux 者优先。 候选人需具备良好的协作沟通能力，参与第5类业务场景交付，并对核心指标进行量化复盘。,本科及以上,5年以上,2,社会招聘,大数据,高校就业网,武汉,武汉,2026-05-19,2026-07-18,2026,2026,高校就业网
大数据,长江数科,高级大数据开发工程师,南京,南京高新区,12,22,负责离线数仓和实时数据平台建设，完成数据集成、计算、质量监控和服务化。要求 SQL、Hadoop、Spark、Flink、Kafka、ETL、数据仓库；熟悉数据治理、Docker、Linux 者优先。 候选人需具备良好的协作沟通能力，参与第6类业务场景交付，并对核心指标进行量化复盘。,本科及以上,1年以上,3,社会招聘,大数据,BOSS直聘,南京,南京,2026-05-08,2026-07-07,2026,2026,BOSS直聘
大数据,北辰软件,大数据开发工程师,成都,成都高新区,14,25,负责离线数仓和实时数据平台建设，完成数据集成、计算、质量监控和服务化。要求 SQL、Hadoop、Spark、Flink、Kafka、ETL、数据仓库；熟悉数据治理、Docker、Linux 者优先。 候选人需具备良好的协作沟通能力，参与第7类业务场景交付，并对核心指标进行量化复盘。,本科及以上,2年以上,1,社会招聘,大数据,企业官网,成都,成都,2026-04-27,2026-06-26,2026,2026,企业官网
大数据,矩阵创新,中级大数据开发工程师,广州,广州高新区,16,28,负责离线数仓和实时数据平台建设，完成数据集成、计算、质量监控和服务化。要求 SQL、Hadoop、Spark、Flink、Kafka、ETL、数据仓库；熟悉数据治理、Docker、Linux 者优先。 候选人需具备良好的协作沟通能力，参与第8类业务场景交付，并对核心指标进行量化复盘。,本科及以上,3年以上,2,社会招聘,大数据,智联招聘,广州,广州,2026-04-16,2026-06-15,2026,2026,智联招聘
大数据,远景智云,高级大数据开发工程师,苏州,苏州高新区,18,31,负责离线数仓和实时数据平台建设，完成数据集成、计算、质量监控和服务化。要求 SQL、Hadoop、Spark、Flink、Kafka、ETL、数据仓库；熟悉数据治理、Docker、Linux 者优先。 候选人需具备良好的协作沟通能力，参与第9类业务场景交付，并对核心指标进行量化复盘。,本科及以上,4年以上,3,社会招聘,大数据,前程无忧,苏州,苏州,2026-04-05,2026-06-04,2026,2026,前程无忧
大数据,科创引擎,大数据开发工程师,合肥,合肥高新区,20,34,负责离线数仓和实时数据平台建设，完成数据集成、计算、质量监控和服务化。要求 SQL、Hadoop、Spark、Flink、Kafka、ETL、数据仓库；熟悉数据治理、Docker、Linux 者优先。 候选人需具备良好的协作沟通能力，参与第10类业务场景交付，并对核心指标进行量化复盘。,本科及以上,5年以上,1,社会招聘,大数据,高校就业网,合肥,合肥,2026-03-25,2026-05-24,2026,2026,高校就业网
物联网,星河科技,物联网平台工程师,北京,北京高新区,12,22,负责设备接入、协议适配、数据采集与物联网平台开发。要求 嵌入式C、物联网协议、Linux、RESTful API、MySQL；熟悉边缘计算、Docker、Kafka 者优先。 候选人需具备良好的协作沟通能力，参与第1类业务场景交付，并对核心指标进行量化复盘。,本科及以上,1年以上,1,社会招聘,物联网,BOSS直聘,北京,北京,2026-06-25,2026-08-24,2026,2026,BOSS直聘
物联网,云启智能,中级物联网平台工程师,上海,上海高新区,14,25,负责设备接入、协议适配、数据采集与物联网平台开发。要求 嵌入式C、物联网协议、Linux、RESTful API、MySQL；熟悉边缘计算、Docker、Kafka 者优先。 候选人需具备良好的协作沟通能力，参与第2类业务场景交付，并对核心指标进行量化复盘。,本科及以上,2年以上,2,社会招聘,物联网,企业官网,上海,上海,2026-06-14,2026-08-13,2026,2026,企业官网
物联网,数澜未来,高级物联网平台工程师,深圳,深圳高新区,16,28,负责设备接入、协议适配、数据采集与物联网平台开发。要求 嵌入式C、物联网协议、Linux、RESTful API、MySQL；熟悉边缘计算、Docker、Kafka 者优先。 候选人需具备良好的协作沟通能力，参与第3类业务场景交付，并对核心指标进行量化复盘。,本科及以上,3年以上,3,社会招聘,物联网,智联招聘,深圳,深圳,2026-06-03,2026-08-02,2026,2026,智联招聘
物联网,海岳信息,物联网平台工程师,杭州,杭州高新区,18,31,负责设备接入、协议适配、数据采集与物联网平台开发。要求 嵌入式C、物联网协议、Linux、RESTful API、MySQL；熟悉边缘计算、Docker、Kafka 者优先。 候选人需具备良好的协作沟通能力，参与第4类业务场景交付，并对核心指标进行量化复盘。,本科及以上,4年以上,1,社会招聘,物联网,前程无忧,杭州,杭州,2026-05-23,2026-07-22,2026,2026,前程无忧
